source_url	parsed_url
https://1.1.1.1/	https://1.1.1.1
https://1.1.1.1/	https://twitter.com/intent/tweet?text=ISPs%20spy%20on%20your%20Internet%20traffic%20and%20sell%20the%20data.%20I%27m%20using%201.1.1.1%20with%20WARP%2C%20a%20free%20app%20which%20makes%20the%20Internet%20on%20my%20phone%20faster%20and%20more%20private.%20You%20should%20get%20the%20app%20too%3A%20https%3A//one.one.one.one
https://1.1.1.1/	https://play.google.com/store/apps/details?id=com.cloudflare.onedotonedotonedotone
https://1.1.1.1/	https://pkg.cloudflareclient.com/
https://1.1.1.1/	https://1111-releases.cloudflareclient.com/mac/Cloudflare_WARP.zip
https://1.1.1.1/	https://developers.cloudflare.com/warpclient/setting-up/windows/
https://1.1.1.1/	https://developers.cloudflare.com/warpclient/setting-up/linux/
https://1.1.1.1/	https://itunes.apple.com/us/app/1-1-1-1-faster-internet/id1423538627
https://1.1.1.1/	https://cloudflare.com
https://1.1.1.1/	https://developers.cloudflare.com/warpclient/setting-up/macOS/
https://1.1.1.1/	https://1111-releases.cloudflareclient.com/windows/Cloudflare_WARP_Release-x64.msi
https://1.1.1.1/	https://blog.cloudflare.com/warp-for-desktop
https://1.1.1.1/	https://www.cloudflare.com/careers/departments/
https://www.mediamatters.org/	https://www.instagram.com/mediamattersforamerica/
https://www.mediamatters.org/	https://www.facebook.com/Mediamatters/
https://www.mediamatters.org/	https://action.mediamatters.org/secure/donate
https://www.mediamatters.org/	https://twitter.com/mmfa
https://www.mediamatters.org/	https://www.youtube.com/channel/UC_70iWZ6ym2cglS_kv5YfmA
https://www.mediamatters.org/	https://www.mediamatters.org/
https://regex101.com/	https://github.com/sponsors/firasdib
https://regex101.com/	https://turnonjs.com
https://regex101.com/	https://www.paypal.com/donate/?hosted_button_id=83QZGPDJEX4MN
https://regex101.com/	http://browsehappy.com/
https://regex101.com/	https://github.com/firasdib/Regex101/wiki
https://regex101.com/	https://github.com/firasdib/Regex101/issues
https://regex101.com/	http://whatismarkdown.com/
https://regex101.com/	https://fonts.googleapis.com/css2?family=Open+Sans:ital,wght@0,300;0,400;0,600;0,700;1,400&family=Source+Code+Pro:wght@400;500;700&display=swap
